zip,lat,lon,urban,records_2020,records_2021
42372,37.4061813,-87.2695527,0,0,0
42374,37.3257843,-87.1543609,1,0,0
48746,43.2592822,-83.5501676,1,0,0
48747,43.5188791,-83.7649271,0,0,0
42376,37.6177551,-87.0859572,0,0,0
39520,30.2688957,-89.480787,1,0,0
42378,37.6672994,-86.863275,0,0,0
48748,44.2980251,-83.7390313,0,0,0
39525,30.3819322,-89.3707836,1,0,0
59527,48.0416597,-108.7915662,0,0,0
59528,48.5761753,-110.4087427,0,0,0
37055,36.0772094,-87.4428032,1,0,0
59529,48.8297867,-108.6061087,0,0,0
37057,36.4181086,-86.0299443,0,0,0
59530,48.6317636,-110.7174506,0,0,0
59531,48.7883887,-110.8014122,0,0,0
43050,40.373976,-82.492721,1,0,0
1224,42.5131631,-73.1957431,1,0,0
1225,42.5634011,-73.153335,1,0,0
1226,42.4811191,-73.1350734,1,0,0
1230,42.173196,-73.3242902,1,0,0
1235,42.4256771,-73.0630284,1,0,0
1236,42.2664962,-73.3783928,1,0,0
1237,42.537932,-73.2716703,1,0,0
1238,42.2975014,-73.2301483,1,0,0
1240,42.3678582,-73.2697633,1,0,0
1242,42.3337341,-73.2491986,1,0,0
1243,42.3501217,-73.0241116,0,0,0
1244,42.118094,-73.2574968,0,0,0
1245,42.1868935,-73.2231053,0,0,0
1253,42.2066825,-73.1132135,0,0,0
1254,42.382019,-73.3654915,0,0,0
1255,42.1074964,-73.1186066,0,0,0
1256,42.5941657,-73.0223195,0,0,0
1257,42.0852444,-73.3674827,0,0,0
1258,42.10928,-73.4628862,0,0,0
1259,42.0754693,-73.2343765,0,0,0
1260,42.2956951,-73.3425436,1,0,0
1262,42.2922019,-73.3192085,1,0,0
1264,42.2315896,-73.2024283,0,0,0
1266,42.3123539,-73.3880437,0,0,0
1267,42.6716169,-73.2469815,1,0,0
1270,42.5152719,-73.0311664,0,0,0
1301,42.6267614,-72.6015304,1,0,0
92408,34.0836194,-117.2684597,1,0,0
92410,34.1073936,-117.2975406,1,0,0
86502,35.2179493,-109.5918619,0,0,0
92411,34.1225011,-117.3201376,1,0,0
92501,33.9965229,-117.3741794,1,0,0
92504,33.903134,-117.3980436,1,0,0
86503,36.1534278,-109.6853411,1,0,0
92506,33.9343276,-117.3673123,1,0,0
92508,33.8911542,-117.3267514,1,0,0
92509,34.0032665,-117.4420038,1,0,0
92518,33.8891842,-117.2777289,1,0,0
92532,33.6926967,-117.3031883,1,0,0
92539,33.5278668,-116.6476196,0,0,0
92543,33.6673,-116.9635055,1,0,0
86505,35.6237543,-109.7069617,0,0,0
86506,35.3580528,-109.2204013,0,0,0
92544,33.6481685,-116.8953034,1,0,0
92548,33.7586633,-117.1094808,1,0,0
86507,36.4104493,-109.264055,0,0,0
92549,33.768539,-116.7533963,0,0,0
86508,35.3294866,-109.0955689,0,0,0
92551,33.8827395,-117.224878,1,0,0
92555,33.8897102,-117.1134304,1,0,0
92561,33.6372008,-116.6272115,1,0,0
86510,36.2579844,-110.2203736,0,0,0
92562,33.5476134,-117.3440401,1,0,0
92567,33.8111261,-117.1034942,1,0,0
86511,35.6737284,-109.4710802,1,0,0
92570,33.7872923,-117.3206734,1,0,0
92571,33.8283955,-117.2076603,1,0,0
86512,35.095074,-109.2431649,0,0,0
92582,33.8076069,-117.0151631,1,0,0
83547,45.1735146,-116.218129,0,0,0
83548,46.3609249,-116.5050335,0,0,0
83549,45.3441782,-116.1909109,0,0,0
83552,46.0080572,-115.9329424,0,0,0
98368,48.0344016,-122.8389533,1,0,0
83553,46.3934091,-115.8974682,0,0,0
83554,45.7200562,-116.2752895,0,0,0
98370,47.7538389,-122.6267759,1,0,0
83555,46.1275429,-116.6894308,0,0,0
83601,43.8759348,-115.1603671,0,0,0
98371,47.1994484,-122.3235413,1,0,0
83602,44.0706005,-116.10868,0,0,0
98372,47.205607,-122.2660881,1,0,0
83604,42.5153455,-115.7478551,0,0,0
98373,47.1484793,-122.3241362,1,0,0
98374,47.1290774,-122.2639227,1,0,0
98375,47.1056068,-122.3270452,1,0,0
98377,46.5255839,-121.9165041,0,0,0
98380,47.6018055,-122.8794187,1,0,0
