INTR_PER_ACRE,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,JOBS_PPL_PER_ARCE,POP_FEMALE_PERC,POP_AGE_18_34_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,EDU_2_PERC,RACE_BAA_PERC,RACE_OTHER,VEH_1,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_ORIGINS,TRIP_DESTI,TRIP_ACTIV,TRIP_VMT,RESIDENTIAL_ROADS_PERC
0.9,0,652,11.65,0.55,0.3,0.192,0.09,0.05,0.04,2723,412,0.82,5.05,0.2,25,14,39,166,0.79
0.88,0,338,19.16,0.56,0.25,0.178,0.06,0.01,0.08,1408,463,0.43,4.33,0.35,52,61,113,74,0.98
0.64,0,290,20.53,0.52,0.28,0.163,0.06,0.01,0.06,2530,742,0.31,4.18,0.3,11,6,17,58,0.97
1.17,0,1140,19.62,0.46,0.24,0.214,0.07,0.01,0.04,2282,289,0.6,4.41,0.25,2,8,10,113,0.9
1.14,0,254,27.98,0.51,0.3,0.178,0.05,0.02,0.05,3693,1142,0.28,3.24,0.17,37,11,48,293,0.7
0.83,0,21614,13.88,0.5,0.27,0.165,0.04,0.01,0.15,521,543,0.23,3.49,0.09,286,169,455,8336,0.44
0.47,0,1790,4.87,0.47,0.26,0.231,0.13,0.03,0.28,634,202,0.26,2.55,0.17,64,68,132,373,0.66
0.62,0,262,6.99,0.5,0.24,0.196,0.08,0.02,0.06,864,323,0.62,3.43,0.2,14,22,36,110,0.71
0.69,0,364,6.7,0.51,0.28,0.233,0.1,0.04,0.17,345,411,0.72,3.23,0.23,38,23,61,218,0.77
0.86,0,378,11.09,0.5,0.26,0.208,0.08,0.04,0.12,1029,591,0.59,4.06,0.19,16,16,32,97,0.88
1.21,0,220,11.31,0.49,0.26,0.235,0.12,0.07,0.27,1354,747,0.56,3.27,0.24,33,20,53,195,0.88
0.63,0,3648,13.32,0.54,0.34,0.156,0.05,0.04,0.3,685,543,0.39,3.24,0.16,43,81,124,228,0.81
0.85,0,363,16.68,0.53,0.21,0.256,0.05,0.06,0.1,1867,352,0.71,4.35,0.36,36,22,58,339,0.88
1.1,0,3959,18.5,0.46,0.34,0.225,0.15,0.28,0.01,256,1360,0.38,1.95,0.16,299,221,520,1764,0.52
1.15,0,805,11.32,0.44,0.33,0.253,0.16,0.25,0.01,354,718,0.58,2.22,0.22,82,91,173,680,0.78
0.96,0,1468,8.79,0.51,0.34,0.245,0.19,0.26,0,653,894,0.61,2.2,0.22,246,230,476,1614,0.67
1.17,0,1197,11.12,0.46,0.36,0.226,0.13,0.24,0.04,220,913,0.55,2.02,0.2,167,136,303,1370,0.74
1.19,0,3826,15.25,0.51,0.25,0.225,0.22,0.19,0.04,185,1247,0.61,1.88,0.15,136,114,250,591,0.67
0.89,0,1315,5.09,0.5,0.16,0.333,0.22,0.22,0.02,277,397,0.77,2.49,0.2,0,36,36,274,0.79
1.64,0,427,12.28,0.53,0.3,0.247,0.16,0.15,0.09,441,1011,0.4,1.86,0.17,0,10,10,125,0.75
1.79,0,252,5.83,0.5,0.16,0.294,0.19,0.22,0,241,96,0.88,3.01,0.14,0,8,8,69,0.87
0.22,0,474,3.7,0.51,0.26,0.197,0.09,0.03,0.13,403,799,0.19,3.29,0.19,29,28,57,115,0.68
1.62,0,145,10.29,0.5,0.3,0.255,0.1,0.09,0.04,988,504,0.61,2.94,0.17,0,14,14,671,0.75
1.18,0,3118,14.21,0.51,0.34,0.192,0.11,0.14,0.12,1093,1424,0.35,2.17,0.12,0,39,39,910,0.52
1.6,0,291,11.89,0.48,0.26,0.234,0.12,0.11,0.04,1250,497,0.63,3.15,0.17,1,30,31,484,0.72
1.18,0,164,18.17,0.47,0.26,0.227,0.08,0.02,0.12,959,634,0.29,2.45,0.1,9,8,17,68,0.81
0.29,0,502,0.41,0.53,0.04,0.358,0.44,0.33,0,14,251,0.91,2.98,0.14,0,1,1,35,0.9
0.04,0,21,0.06,0.53,0.06,0.3,0.46,0.17,0.01,98,318,0.93,2.89,0.17,0,0,0,32,0.68
0.07,0,497,0.07,0.5,0.18,0.332,0.18,0.15,0.05,631,410,0.8,2.68,0.11,0,8,8,600,0.6
0.55,0,325,2.03,0.52,0.27,0.207,0.18,0.11,0.1,649,419,0.77,3.45,0.16,0,9,9,782,0.69
1.15,0,894,17.57,0.52,0.29,0.174,0.08,0.01,0.1,523,202,0.29,2.75,0.24,0,1,1,19,0.78
0.1,0,260,0.13,0.53,0.07,0.268,0.42,0.28,0.02,498,298,0.95,2.27,0.09,0,20,20,149,0.63
0.65,0,435,1.2,0.53,0.15,0.273,0.09,0.18,0.02,538,305,0.82,3.35,0.09,0,18,18,219,0.63
0.25,0,337,1.11,0.48,0.24,0.161,0.06,0.15,0.07,424,278,0.91,4.42,0.13,0,1,1,173,0.56
1.51,0,906,3.46,0.54,0,0.169,0.82,0.28,0.01,44,124,0.97,1.26,0.15,0,0,0,67,0.73
0.02,0,899,0.06,0.47,0.18,0.299,0.12,0.09,0,345,366,0.81,2.98,0.08,0,1,1,133,0.42
0.04,0,1197,0.06,0.51,0.2,0.221,0.09,0.09,0.06,1272,251,0.85,3.71,0.15,0,6,6,787,0.73
0.51,0,1538,2.95,0.51,0.21,0.209,0.1,0.08,0.1,1054,420,0.72,3.93,0.17,0,34,34,73,0.69
0.61,0,381,7.58,0.53,0.32,0.199,0.07,0.12,0.12,1151,1109,0.39,2.46,0.18,1,6,7,112,0.69
1.02,0,1205,9.1,0.53,0.22,0.283,0.18,0.13,0.05,315,358,0.63,1.9,0.18,0,9,9,81,0.71
0.98,0,58,7.43,0.53,0.17,0.247,0.08,0.14,0.09,396,70,0.85,3.8,0.23,0,0,0,17,0.73
1.18,0,2851,11.77,0.5,0.28,0.149,0.05,0.07,0.28,1004,466,0.35,3.58,0.12,109,83,192,1172,0.63
0.97,0,252,11.7,0.51,0.27,0.176,0.04,0.05,0.15,834,515,0.67,4.24,0.22,57,58,115,208,0.78
1.11,0,11354,25.31,0.6,0.3,0.208,0.24,0.08,0.05,695,776,0.2,1.71,0.12,129,89,218,733,0.49
0.58,1,1602,32.88,0.5,0.31,0.22,0.08,0.12,0.12,1105,1121,0.15,2,0.04,45,73,118,78,0.5
1.29,0,174,17.49,0.51,0.29,0.173,0.07,0,0.03,2373,251,0.56,4.21,0.25,38,17,55,207,0.84
1.1,0,450,18.06,0.49,0.3,0.179,0.04,0.02,0.06,2020,391,0.43,4.13,0.18,21,23,44,148,0.84
1.14,0,49,17.52,0.46,0.24,0.193,0.06,0.01,0.03,1178,94,0.69,5.87,0.21,14,5,19,151,0.81
0.89,0,424,20.74,0.5,0.35,0.228,0.07,0.02,0.07,1199,82,0.65,5.41,0.31,12,18,30,112,0.78
1,0,1525,16.46,0.46,0.25,0.148,0.06,0.01,0.02,2874,520,0.51,5.31,0.17,23,37,60,331,0.7
1.09,0,432,29.51,0.56,0.34,0.17,0.04,0.03,0.18,572,1024,0.12,2.72,0.18,83,64,147,1687,0.53
1.17,0,131,12.74,0.49,0.23,0.181,0.1,0.03,0.03,445,246,0.62,5.44,0.19,18,12,30,136,0.87
0.78,0,480,4.67,0.53,0.16,0.324,0.17,0.22,0,135,340,0.88,2.64,0.24,47,31,78,449,0.69
0.53,0,788,8.49,0.53,0.01,0.147,0.84,0.2,0,18,57,0.94,1.12,0.37,33,18,51,225,0.57
0.64,1,1262,14.87,0.6,0.21,0.156,0.2,0.07,0.19,533,564,0.29,2.56,0.12,113,33,146,212,0.59
0.04,0,1358,0.01,0.47,0.04,0.417,0.45,0.36,0,16,138,0.93,2.18,0.04,0,18,18,1036,0.62
0.34,0,1633,0.43,0.54,0.09,0.367,0.38,0.26,0,215,440,0.89,2.46,0.09,0,4,4,48,0.85
1.17,0,270,11.47,0.45,0.27,0.257,0.07,0.03,0.15,180,300,0.26,2.62,0.22,67,50,117,1643,0.63
1.09,0,1409,13.17,0.55,0.33,0.245,0.16,0.27,0.01,420,870,0.38,1.61,0.2,100,100,200,232,0.87
0.01,0,843,0.01,0.48,0.13,0.297,0.38,0.13,0,248,298,0.9,3.37,0.07,0,3,3,23,0.6
0.22,0,1058,0.6,0.52,0.23,0.247,0.08,0.1,0.08,542,229,0.85,3.41,0.13,0,36,36,773,0.46
0.26,0,427,0.94,0.49,0.12,0.318,0.19,0.21,0.01,264,180,0.91,3.59,0.13,0,14,14,42,0.78
1.22,0,93,18.23,0.52,0.3,0.189,0.05,0.05,0.07,2133,442,0.66,3.54,0.21,35,19,54,179,0.75
1.05,0,11390,30.13,0.5,0.33,0.232,0.08,0.17,0.04,279,630,0.41,2.22,0.2,0,19,19,524,0.61
0.99,0,2418,10.21,0.51,0.25,0.271,0.13,0.14,0.02,544,315,0.85,3.52,0.23,0,8,8,107,0.73
3.24,0,128,10,0.48,0.27,0.213,0.1,0.07,0.01,459,164,0.85,2.76,0.09,0,2,2,56,0.85
1.08,0,837,9.21,0.53,0.23,0.21,0.06,0.1,0.27,954,254,0.52,3.67,0.19,40,55,95,184,0.74
1.62,0,670,14.26,0.48,0.25,0.224,0.09,0.21,0.1,741,527,0.51,2.88,0.16,31,23,54,902,0.64
1.24,0,1836,14.34,0.53,0.28,0.229,0.07,0.17,0.09,556,1047,0.43,2.37,0.21,253,259,512,1656,0.61
0.37,0,31,1.7,0.53,0.15,0.365,0.09,0.22,0.01,96,54,0.94,4.77,0.09,6,4,10,39,0.71
0.1,0,15,0.02,0.48,0.23,0.419,0.11,0.17,0,40,10,0.86,0,0.01,11,12,23,36,0.87
0.44,0,2029,1.39,0.49,0.15,0.349,0.08,0.12,0.04,242,175,0.94,4.07,0.17,0,44,44,284,0.86
0.06,0,2435,0.13,0.45,0.19,0.288,0.13,0.15,0.03,824,358,0.81,3.69,0.08,0,13,13,1222,0.74
0.88,0,415,3.96,0.49,0.17,0.372,0.16,0.14,0.02,112,108,0.9,3.65,0.12,0,5,5,271,0.72
0,0,1418,0.01,0.01,0.43,0.239,0.02,0.02,0.11,2066,17,0.63,2.56,0.03,0,0,0,218,0.41
0.27,0,2314,0.43,0.51,0.17,0.262,0.19,0.16,0.02,219,152,0.83,2.23,0.14,49,46,95,2498,0.62
0.01,0,1034,0.01,0.49,0.24,0.186,0.08,0.04,0.04,912,306,0.48,3.3,0.08,0,8,8,357,0.44
0.1,0,185,0.15,0.44,0.13,0.34,0.17,0.2,0.02,5,58,0.9,1.44,0.1,0,0,0,103,0.68
0.35,0,510,0.98,0.49,0.13,0.474,0.2,0.18,0,179,305,0.89,3.45,0.15,0,1,1,45,0.85
0.54,0,1002,3.11,0.56,0.15,0.257,0.14,0.2,0.05,270,467,0.67,2.83,0.19,0,29,29,115,0.69
0.66,0,319,0.63,0.54,0.03,0.314,0.57,0.32,0,64,148,0.96,2.43,0.09,0,7,7,89,0.81
0.11,0,188,0.44,0.53,0.18,0.247,0.08,0.22,0.05,167,206,0.92,4.06,0.16,0,5,5,303,0.6
0.22,0,546,0.88,0.52,0.08,0.376,0.27,0.3,0.01,163,163,0.9,2.28,0.13,7,39,46,77,0.91
0.89,0,563,4.77,0.51,0.26,0.264,0.2,0.25,0.01,260,401,0.7,2.03,0.18,90,65,155,939,0.67
0.51,0,15305,4.08,0.51,0.28,0.243,0.07,0.22,0.02,496,969,0.59,2.29,0.13,0,48,48,422,0.67
0.16,0,365,0.62,0.5,0.19,0.254,0.06,0.22,0,209,710,0.79,2.58,0.16,0,19,19,256,0.59
1.14,0,496,2.68,0.5,0.03,0.312,0.51,0.34,0,78,104,0.97,2.41,0.13,0,0,0,49,0.7
0.84,0,440,13.39,0.59,0.25,0.206,0.21,0.07,0.15,161,672,0.32,2.63,0.17,50,37,87,145,0.37
1.16,0,61,10.2,0.52,0.19,0.298,0.13,0.19,0.02,224,213,0.81,2.89,0.22,0,5,5,173,0.99
0.01,0,257,0.03,0.49,0.17,0.296,0.25,0.11,0.02,970,189,0.84,3.14,0.11,0,0,0,69,0.6
0.3,0,294,0.49,0.48,0.13,0.255,0.18,0.16,0.05,275,73,0.87,3,0.13,0,3,3,77,0.6
0.48,0,171,1.15,0.51,0.13,0.303,0.16,0.15,0.1,302,252,0.86,4.29,0.15,0,17,17,18,0.7
0.96,0,373,3.37,0.51,0.1,0.344,0.11,0.23,0.04,166,132,0.97,2.77,0.14,0,12,12,138,0.68
0.45,0,126,8.25,0.49,0.21,0.211,0.28,0.11,0.01,326,327,0.77,3.26,0.32,12,8,20,924,0.96
2.24,0,228,9.58,0.53,0.23,0.173,0.06,0.18,0.05,825,543,0.68,2.71,0.14,104,155,259,400,0.69
0.68,0,3242,3.64,0.5,0.15,0.215,0.08,0.17,0.06,916,469,0.93,4.51,0.16,2,70,72,929,0.79
2.22,0,977,8.78,0.52,0.11,0.19,0.1,0.17,0.01,287,144,0.82,3.92,0.12,20,21,41,211,0.68
0.85,0,421,16.14,0.52,0.26,0.229,0.09,0.03,0.04,658,425,0.5,3.33,0.27,22,11,33,167,0.68
0.45,0,3460,2.14,0.51,0.18,0.313,0.09,0.18,0.01,739,504,0.93,1.51,0.15,0,30,30,175,0.71
0.55,0,31169,9.23,0.45,0.32,0.204,0.13,0.1,0.08,420,575,0.38,2.31,0.11,0,51,51,1479,0.34
1.61,0,5157,18.64,0.55,0.29,0.257,0.11,0.18,0.01,394,563,0.62,2.1,0.14,0,18,18,869,0.82
0.79,0,475,5.1,0.54,0.01,0.206,0.77,0.15,0,21,72,0.8,1.53,0.22,0,0,0,9,0.83
1.46,1,15693,30.91,0.5,0.19,0.303,0.15,0.29,0.03,309,758,0.65,1.76,0.13,328,316,644,1592,0.57
1.22,0,789,15.96,0.54,0.31,0.193,0.06,0.03,0.01,849,275,0.54,4.99,0.19,19,15,34,135,0.78
1.4,0,252,16.97,0.51,0.18,0.289,0.15,0.05,0.04,515,455,0.41,2.23,0.19,16,17,33,79,0.81
0.51,0,11578,8.84,0.61,0.26,0.24,0.08,0.14,0.14,1508,901,0.38,3.03,0.15,246,205,451,1276,0.53
1.03,0,9639,21.12,0.59,0.25,0.253,0.12,0.09,0.13,353,387,0.64,2.94,0.17,176,136,312,749,0.73
1.3,0,57,16.19,0.52,0.34,0.233,0.08,0.08,0.14,1225,794,0.36,2.84,0.36,86,85,171,478,0.75
0.98,0,1046,12.41,0.47,0.22,0.242,0.13,0.04,0.27,1424,433,0.66,3.19,0.22,108,113,221,466,0.83
0.7,0,402,9.87,0.47,0.33,0.235,0.09,0.03,0.08,1478,267,0.69,3.41,0.27,45,34,79,350,0.82
1.06,0,400,10.76,0.49,0.25,0.198,0.11,0.06,0.11,2448,878,0.61,3.5,0.2,94,99,193,442,0.79
0.74,0,1425,8.14,0.48,0.23,0.196,0.14,0.14,0.16,1140,403,0.74,4.6,0.2,60,56,116,356,0.84
1.14,0,6150,7.81,0.55,0.27,0.261,0.11,0.14,0.2,1477,1077,0.64,2.4,0.15,163,151,314,1941,0.8
0.93,1,11052,8.24,0.43,0.5,0.191,0.08,0.1,0.04,1573,1087,0.31,2.27,0.1,758,836,1594,13053,0.38
1.29,1,34062,63.61,0.41,0.85,0.073,0.03,0.07,0.06,290,494,0.17,1.58,0.08,500,536,1036,5590,0.22
1.62,0,118,10.72,0.49,0.25,0.232,0.11,0.11,0.01,565,175,0.82,5.02,0.16,6,13,19,146,0.76
1.91,0,7573,15.65,0.49,0.3,0.248,0.14,0.05,0.08,1089,1113,0.37,2.4,0.11,354,275,629,2107,0.46
1.42,0,245,11.43,0.53,0.21,0.288,0.12,0.09,0.07,771,399,0.73,2.98,0.15,89,116,205,154,0.88
1.38,0,1191,11.63,0.44,0.24,0.254,0.15,0.12,0.04,798,818,0.76,2.65,0.19,0,37,37,152,0.81
0.77,0,5575,13.24,0.49,0.23,0.258,0.19,0.09,0.01,56,84,0.87,3.43,0.17,0,10,10,98,0.63
0.81,0,1505,11.23,0.51,0.28,0.273,0.18,0.07,0.03,621,355,0.61,2.57,0.26,0,20,20,162,0.7
0.02,0,81,0.82,0.05,0.47,0.226,0.02,0.02,0.09,2241,56,0.61,3.58,0.28,0,0,0,0,0.83
